"Position (mm) Run #1";"Position (mm) Run #2";"Position (mm) Run #3";"Position (mm) Run #4";"Position (mm) Run #5";"Position (mm) Run #6";"Position (mm) Run #7"
0,55;-9,52;-22,26;-37,41;-47,91;-63,19;-75,89
0,34;-12,56;-25,28;-38,01;-50,88;-63,96;-76,88
0,34;-12,56;-25,28;-37,98;-51,08;-64,16;-76,88
0,37;-12,53;-25,28;-38,18;-51,06;-64,16;-76,86
0,17;-12,73;-25,25;-38,18;-51,26;-64,13;-77,06
0,17;-12,73;-25,46;-38,18;-51,23;-64,33;-77,06
0,17;-12,73;-25,46;-38,18;-51,43;-64,33;-77,06
0,17;-12,73;-25,46;-38,16;-51,43;-64,33;-77,06
0,17;-12,73;-25,46;-38,36;-51,40;-64,33;-77,06
0,20;-12,73;-25,46;-38,36;-51,60;-64,33;-77,06
0,00;-12,73;-25,46;-38,36;-51,60;-64,33;-77,06
0,00;-12,73;-25,46;-38,36;-51,60;-64,33;-77,06
0,00;-12,73;-25,46;-38,36;-51,60;-64,33;-77,06
0,00;-12,73;-25,46;-38,36;-51,57;-64,33;-77,03
0,00;-12,73;-25,46;-38,36;-51,77;-64,33;-77,23
0,00;-12,73;-25,46;-38,36;-51,77;-64,33;-77,23
0,00;-12,73;-25,46;-38,36;-51,77;-64,33;-77,23
0,00;-12,73;-25,46;-38,36;-51,77;-64,33;-77,23
0,00;-12,73;-25,43;-38,36;-51,74;-64,33;-77,23
0,00;-12,73;-25,63;-38,33;-51,94;-64,33;-77,23
0,00;-12,73;-25,63;-38,53;-51,94;-64,33;-77,23
0,00;-12,73;-25,63;-38,53;-51,94;-64,33;-77,23
0,00;-12,73;-25,63;-38,53;-51,94;-64,33;-77,23
0,00;-12,73;-25,63;-38,53;-51,94;-64,33;-77,23
0,00;-12,76;-25,63;-38,53;-51,94;-64,33;-77,23
0,00;-12,56;-25,63;-38,53;-51,94;-64,33;-77,23
0,00;-12,56;-25,60;-38,53;-51,94;-64,33;-77,23
0,00;-12,56;-25,80;-38,53;-51,94;-64,33;-77,23
0,00;-12,56;-25,80;-38,53;-51,94;-64,33;-77,23
-0,03;-12,56;-25,80;-38,53;-51,94;-64,33;-77,23
0,17;-12,56;-25,80;-38,53;-51,94;-64,33;-77,23
0,17;-12,56;-25,80;-38,53;-51,97;-64,33;-77,23
0,17;-12,56;-25,80;-38,53;-51,77;-64,33;-77,23
0,17;-12,56;-25,80;-38,53;-51,77;-64,33;-77,23
0,17;-12,53;-25,80;-38,53;-51,77;-64,33;-77,23
0,17;-12,73;-25,80;-38,53;-51,77;-64,33;-77,20
0,14;-12,73;-25,77;-38,53;-51,77;-64,33;-77,40
0,34;-12,73;-25,97;-38,53;-51,80;-64,33;-77,40
0,34;-12,73;-25,97;-38,53;-51,60;-64,33;-77,40
0,34;-12,73;-25,97;-38,53;-51,60;-64,33;-77,40
0,34;-12,73;-25,97;-38,53;-51,60;-64,33;-77,40
0,34;-12,73;-25,97;-38,53;-51,63;-64,33;-77,40
0,34;-12,73;-25,97;-38,53;-51,43;-64,33;-77,40
0,34;-12,73;-25,97;-38,53;-51,43;-64,33;-77,40
0,34;-12,73;-25,97;-38,53;-51,43;-64,33;-77,40
0,34;-12,73;-26,00;-38,53;-51,43;-64,36;-77,40
0,34;-12,73;-25,80;-38,56;-51,43;-64,16;-77,40
0,34;-12,73;-25,80;-38,36;-51,46;-64,16;-77,40
0,34;-12,73;-25,80;-38,36;-51,26;-64,16;-77,40
0,34;-12,73;-25,80;-38,36;-51,26;-64,16;-77,40
0,37;-12,73;-25,80;-38,36;-51,26;-64,16;-77,40
0,17;-12,70;-25,80;-38,36;-51,26;-64,16;-77,40
0,17;-12,90;-25,80;-38,36;-51,26;-64,16;-77,40
0,17;-12,90;-25,83;-38,36;-51,28;-64,16;-77,40
0,17;-12,90;-25,63;-38,36;-51,08;-64,16;-77,40
0,17;-12,93;-25,63;-38,36;-51,08;-64,16;-77,40
0,17;-12,73;-25,63;-38,36;-51,08;-64,16;-77,40
0,20;-12,73;-25,63;-38,36;-51,08;-64,13;-77,43
0,00;-12,73;-25,63;-38,36;-51,08;-64,33;-77,23
0,00;-12,73;-25,63;-38,38;-51,08;-64,33;-77,23
0,00;-12,73;-25,63;-38,18;-51,08;-64,33;-77,23
0,00;-12,73;-25,63;-38,18;-51,08;-64,33;-77,23
0,00;-12,73;-25,63;-38,18;-51,08;-64,33;-77,23
0,00;-12,73;-25,66;-38,18;-51,08;-64,33;-77,23
0,00;-12,73;-25,46;-38,18;-51,06;-64,33;-77,23
0,03;-12,73;-25,46;-38,18;-51,26;-64,33;-77,23
-0,17;-12,73;-25,46;-38,18;-51,26;-64,33;-77,23
-0,17;-12,73;-25,46;-38,18;-51,26;-64,33;-77,23
-0,17;-12,73;-25,46;-38,18;-51,26;-64,33;-77,23
-0,17;-12,73;-25,46;-38,18;-51,26;-64,33;-77,23
-0,20;-12,73;-25,46;-38,18;-51,23;-64,33;-77,23
0,00;-12,73;-25,46;-38,18;-51,43;-64,33;-77,23
0,00;-12,73;-25,46;-38,16;-51,43;-64,33;-77,23
0,00;-12,73;-25,46;-38,36;-51,43;-64,33;-77,23
0,00;-12,73;-25,46;-38,36;-51,43;-64,33;-77,23
0,00;-12,73;-25,43;-38,36;-51,40;-64,33;-77,23
0,00;-12,73;-25,63;-38,36;-51,60;-64,33;-77,23
0,00;-12,76;-25,63;-38,36;-51,60;-64,33;-77,23
0,00;-12,56;-25,63;-38,36;-51,60;-64,33;-77,23
-0,03;-12,56;-25,63;-38,36;-51,60;-64,33;-77,23
0,17;-12,56;-25,63;-38,36;-51,57;-64,33;-77,23
0,17;-12,56;-25,63;-38,36;-51,77;-64,33;-77,23
0,17;-12,56;-25,63;-38,36;-51,77;-64,33;-77,23
0,17;-12,56;-25,63;-38,36;-51,77;-64,33;-77,25
0,17;-12,56;-25,63;-38,36;-51,77;-64,33;-77,06
0,17;-12,56;-25,63;-38,33;-51,74;-64,33;-77,06
0,14;-12,56;-25,63;-38,53;-51,94;-64,33;-77,06
0,34;-12,56;-25,60;-38,53;-51,94;-64,33;-77,06
0,34;-12,56;-25,80;-38,53;-51,94;-64,30;-77,06
0,34;-12,56;-25,80;-38,53;-51,94;-64,50;-77,06
0,34;-12,56;-25,80;-38,53;-51,94;-64,50;-77,03
0,34;-12,56;-25,80;-38,53;-51,94;-64,50;-77,23
0,34;-12,56;-25,80;-38,53;-51,94;-64,53;-77,23
0,34;-12,56;-25,80;-38,53;-51,94;-64,33;-77,23
0,34;-12,53;-25,80;-38,53;-51,94;-64,33;-77,23
0,34;-12,73;-25,77;-38,53;-51,94;-64,33;-77,23
0,34;-12,73;-25,97;-38,53;-51,94;-64,33;-77,23
0,34;-12,73;-25,97;-38,53;-51,94;-64,33;-77,23
0,34;-12,73;-25,97;-38,53;-51,94;-64,33;-77,23
0,34;-12,73;-25,97;-38,53;-51,97;-64,33;-77,23
0,37;-12,73;-26,00;-38,53;-51,77;-64,33;-77,23
0,17;-12,73;-25,80;-38,53;-51,77;-64,33;-77,23
0,17;-12,73;-25,80;-38,53;-51,77;-64,33;-77,23
0,17;-12,73;-25,80;-38,53;-51,77;-64,33;-77,23
0,17;-12,73;-25,80;-38,53;-51,80;-64,33;-77,23
0,17;-12,73;-25,80;-38,53;-51,60;-64,33;-77,23
0,20;-12,73;-25,80;-38,53;-51,60;-64,33;-77,23
0,00;-12,73;-25,80;-38,53;-51,60;-64,33;-77,23
0,00;-12,73;-25,80;-38,53;-51,60;-64,33;-77,23
0,00;-12,73;-25,80;-38,53;-51,63;-64,33;-77,23
0,00;-12,70;-25,80;-38,53;-51,43;-64,33;-77,23
0,00;-12,90;-25,80;-38,56;-51,43;-64,33;-77,23
0,00;-12,90;-25,80;-38,36;-51,43;-64,33;-77,23
0,00;-12,90;-25,80;-38,36;-51,43;-64,33;-77,20
0,00;-12,90;-25,83;-38,36;-51,46;-64,36;-77,43
0,00;-12,90;-25,63;-38,36;-51,26;-64,16;-77,23
0,03;-12,90;-25,63;-38,36;-51,26;-64,16;-77,20
-0,17;-12,93;-25,63;-38,36;-51,26;-64,16;-77,40
-0,17;-12,73;-25,63;-38,36;-51,26;-64,16;-77,40
-0,17;-12,73;-25,63;-38,36;-51,26;-64,16;-77,40
-0,17;-12,73;-25,63;-38,36;-51,26;-64,16;-77,40
-0,20;-12,73;-25,63;-38,36;-51,28;-64,16;-77,40
0,00;-12,73;-25,63;-38,36;-51,08;-64,16;-77,40
0,00;-12,73;-25,66;-38,36;-51,08;-64,16;-77,40
0,00;-12,73;-25,46;-38,36;-51,08;-64,16;-77,40
0,00;-12,73;-25,46;-38,36;-51,08;-64,16;-77,40
0,00;-12,73;-25,46;-38,36;-51,08;-64,16;-77,40
0,00;-12,73;-25,46;-38,36;-51,08;-64,16;-77,40
0,00;-12,73;-25,46;-38,38;-51,08;-64,16;-77,40
-0,03;-12,73;-25,46;-38,18;-51,06;-64,16;-77,40
0,17;-12,73;-25,46;-38,18;-51,26;-64,16;-77,40
0,17;-12,73;-25,46;-38,16;-51,26;-64,16;-77,43
0,17;-12,73;-25,46;-38,36;-51,26;-64,16;-77,23
0,17;-12,73;-25,46;-38,36;-51,26;-64,13;-77,23
0,17;-12,73;-25,46;-38,36;-51,26;-64,33;-77,23
0,17;-12,73;-25,43;-38,36;-51,26;-64,33;-77,23
0,17;-12,73;-25,63;-38,36;-51,26;-64,33;-77,23
0,17;-12,73;-25,63;-38,36;-51,23;-64,33;-77,23
0,14;-12,73;-25,63;-38,36;-51,43;-64,33;-77,23
0,34;-12,73;-25,63;-38,36;-51,43;-64,33;-77,23
0,34;-12,76;-25,63;-38,36;-51,43;-64,33;-77,23
0,34;-12,53;-25,63;-38,36;-51,43;-64,33;-77,23
0,34;-12,73;-25,63;-38,36;-51,40;-64,33;-77,23
0,34;-12,73;-25,60;-38,36;-51,60;-64,33;-77,23
0,34;-12,73;-25,80;-38,36;-51,60;-64,33;-77,23
0,34;-12,73;-25,80;-38,36;-51,60;-64,33;-77,23
0,34;-12,73;-25,80;-38,36;-51,57;-64,33;-77,23
0,34;-12,73;-25,80;-38,33;-51,77;-64,33;-77,23
0,37;-12,73;-25,80;-38,53;-51,77;-64,33;-77,23
0,17;-12,73;-25,80;-38,53;-51,77;-64,33;-77,23
0,17;-12,73;-25,80;-38,53;-51,77;-64,33;-77,23
0,17;-12,73;-25,80;-38,53;-51,77;-64,33;-77,23
0,17;-12,73;-25,77;-38,53;-51,74;-64,33;-77,23
0,17;-12,73;-25,97;-38,53;-51,94;-64,30;-77,23
0,17;-12,73;-25,97;-38,53;-51,94;-64,50;-77,23
0,17;-12,73;-25,97;-38,53;-51,94;-64,53;-77,23
0,20;-12,73;-25,97;-38,53;-51,94;-64,33;-77,23
0,00;-12,73;-25,97;-38,53;-51,94;-64,30;-77,23
0,00;-12,73;-25,97;-38,53;-51,94;-64,50;-77,23
0,00;-12,73;-25,97;-38,53;-51,94;-64,50;-77,23
0,00;-12,73;-25,97;-38,53;-51,94;-64,50;-77,23
0,00;-12,70;-25,97;-38,53;-51,94;-64,53;-77,23
0,00;-12,93;-25,97;-38,53;-51,94;-64,33;-77,23
0,00;-12,73;-25,97;-38,53;-51,94;-64,33;-77,23
0,00;-12,73;-26,00;-38,53;-51,94;-64,33;-77,23
0,00;-12,70;-25,80;-38,53;-51,94;-64,33;-77,23
0,00;-12,90;-25,80;-38,53;-51,97;-64,33;-77,23
0,00;-12,93;-25,80;-38,53;-51,77;-64,33;-77,23
0,00;-12,70;-25,80;-38,53;-51,77;-64,33;-77,23
0,00;-12,90;-25,80;-38,53;-51,77;-64,33;-77,23
0,00;-12,90;-25,80;-38,53;-51,77;-64,33;-77,23
0,00;-12,93;-25,80;-38,56;-51,77;-64,33;-77,23
0,00;-12,70;-25,80;-38,36;-51,80;-64,33;-77,23
0,00;-12,93;-25,80;-38,36;-51,60;-64,33;-77,23
0,00;-12,73;-25,80;-38,36;-51,60;-64,33;-77,23
0,00;-12,73;-25,83;-38,36;-51,60;-64,33;-77,23
0,00;-12,73;-25,63;-38,36;-51,60;-64,33;-77,23
-0,03;-12,73;-25,63;-38,36;-51,63;-64,33;-77,23
0,17;-12,73;-25,63;-38,36;-51,43;-64,33;-77,23
0,17;-12,73;-25,63;-38,36;-51,43;-64,33;-77,23
0,17;-12,73;-25,63;-38,36;-51,43;-64,33;-77,23
0,17;-12,73;-25,63;-38,36;-51,43;-64,33;-77,23
0,17;-12,73;-25,63;-38,36;-51,46;-64,33;-77,23
0,17;-12,73;-25,63;-38,38;-51,26;-64,33;-77,23
0,17;-12,73;-25,63;-38,18;-51,26;-64,33;-77,23
0,14;-12,73;-25,63;-38,18;-51,26;-64,33;-77,23
0,34;-12,73;-25,63;-38,18;-51,26;-64,33;-77,23
0,34;-12,73;-25,63;-38,18;-51,26;-64,33;-77,23
0,34;-12,73;-25,63;-38,18;-51,28;-64,36;-77,20
0,34;-12,73;-25,63;-38,18;-51,08;-64,16;-77,40
0,34;-12,73;-25,63;-38,18;-51,08;-64,16;-77,40
0,34;-12,73;-25,63;-38,18;-51,08;-64,16;-77,40
0,34;-12,73;-25,63;-38,18;-51,08;-64,16;-77,40
0,34;-12,73;-25,63;-38,18;-51,08;-64,16;-77,40
0,34;-12,73;-25,63;-38,18;-51,08;-64,16;-77,40
0,34;-12,73;-25,63;-38,18;-51,08;-64,16;-77,40
0,34;-12,73;-25,63;-38,18;-51,08;-64,16;-77,40
0,34;-12,73;-25,63;-38,18;-51,08;-64,16;-77,40
0,37;-12,73;-25,63;-38,18;-51,06;-64,16;-77,40
0,17;-12,73;-25,63;-38,18;-51,26;-64,16;-77,40
0,17;-12,73;-25,60;-38,16;-51,26;-64,16;-77,40
0,17;-12,73;-25,80;-38,36;-51,26;-64,16;-77,40
0,17;-12,73;-25,80;-38,36;-51,26;-64,13;-77,43
0,17;-12,73;-25,80;-38,36;-51,26;-64,33;-77,20
0,17;-12,73;-25,80;-38,36;-51,26;-64,33;-77,43
0,20;-12,73;-25,80;-38,36;-51,23;-64,33;-77,20
0,00;-12,73;-25,80;-38,36;-51,43;-64,33;-77,43
0,00;-12,73;-25,80;-38,36;-51,43;-64,33;-77,23
0,00;-12,73;-25,80;-38,36;-51,43;-64,33;-77,23
0,00;-12,73;-25,80;-38,36;-51,43;-64,33;-77,23
0,00;-12,73;-25,77;-38,36;-51,40;-64,33;-77,23
0,00;-12,73;-25,97;-38,36;-51,60;-64,33;-77,23
0,00;-12,73;-25,97;-38,36;-51,60;-64,33;-77,23
0,03;-12,73;-25,97;-38,33;-51,60;-64,33;-77,23
-0,17;-12,70;-25,97;-38,53;-51,60;-64,33;-77,23
-0,17;-12,90;-25,97;-38,53;-51,57;-64,33;-77,23
-0,17;-12,90;-25,97;-38,53;-51,77;-64,33;-77,23
-0,17;-12,90;-25,97;-38,53;-51,77;-64,33;-77,23
-0,17;-12,90;-25,97;-38,53;-51,77;-64,33;-77,23
-0,17;-12,90;-25,97;-38,53;-51,77;-64,33;-77,23
-0,17;-12,90;-25,97;-38,53;-51,77;-64,33;-77,23
-0,20;-12,90;-25,97;-38,53;-51,77;-64,33;-77,23
0,00;-12,90;-25,97;-38,53;-51,77;-64,33;-77,23
0,00;-12,90;-25,97;-38,53;-51,74;-64,33;-77,23
0,00;-12,90;-26,00;-38,53;-51,94;-64,33;-77,23
0,00;-12,93;-25,80;-38,53;-51,94;-64,33;-77,25
0,00;-12,73;-25,80;-38,53;-51,94;-64,30;-77,06
0,00;-12,73;-25,80;-38,53;-51,94;-64,50;-77,06
-0,03;-12,73;-25,80;-38,53;-51,94;-64,50;-77,06
0,17;-12,73;-25,80;-38,53;-51,94;-64,50;-77,06
0,17;-12,73;-25,80;-38,53;-51,97;-64,50;-77,06
0,17;-12,73;-25,80;-38,53;-51,77;-64,53;-77,06
0,17;-12,73;-25,80;-38,53;-51,77;-64,30;-77,06
0,17;-12,73;-25,80;-38,56;-51,77;-64,50;-77,06
0,17;-12,73;-25,83;-38,36;-51,77;-64,50;-77,06
0,14;-12,73;-25,63;-38,36;-51,77;-64,53;-77,06
0,34;-12,73;-25,63;-38,36;-51,77;-64,30;-77,06
0,34;-12,73;-25,63;-38,36;-51,80;-64,53;-77,06
0,34;-12,73;-25,63;-38,36;-51,60;-64,33;-77,06
0,34;-12,73;-25,63;-38,36;-51,60;-64,33;-77,06
0,34;-12,73;-25,63;-38,36;-51,60;-64,33;-77,03
0,34;-12,76;-25,63;-38,36;-51,60;-64,33;-77,23
0,34;-12,56;-25,66;-38,36;-51,60;-64,33;-77,23
0,34;-12,56;-25,46;-38,36;-51,63;-64,33;-77,23
0,34;-12,56;-25,46;-38,36;-51,43;-64,33;-77,23
0,34;-12,56;-25,46;-38,36;-51,43;-64,33;-77,23
0,34;-12,56;-25,46;-38,38;-51,43;-64,33;-77,23
0,34;-12,56;-25,46;-38,18;-51,46;-64,33;-77,23
0,34;-12,56;-25,46;-38,18;-51,26;-64,33;-77,23
0,34;-12,56;-25,46;-38,18;-51,26;-64,33;-77,23
0,37;-12,56;-25,46;-38,18;-51,26;-64,33;-77,23
0,17;-12,56;-25,43;-38,18;-51,26;-64,33;-77,23
0,17;-12,53;-25,63;-38,18;-51,28;-64,33;-77,23
0,17;-12,76;-25,63;-38,18;-51,08;-64,33;-77,23
0,17;-12,56;-25,63;-38,18;-51,08;-64,33;-77,23
0,17;-12,56;-25,63;-38,18;-51,08;-64,33;-77,23
0,17;-12,56;-25,63;-38,18;-51,08;-64,33;-77,23
0,20;-12,56;-25,63;-38,18;-51,08;-64,33;-77,23
0,00;-12,53;-25,63;-38,18;-51,08;-64,33;-77,23
0,00;-12,73;-25,63;-38,18;-51,08;-64,36;-77,23
0,00;-12,73;-25,63;-38,18;-51,08;-64,13;-77,23
0,00;-12,73;-25,60;-38,18;-51,08;-64,36;-77,23
0,00;-12,73;-25,80;-38,18;-51,08;-64,16;-77,20
0,00;-12,73;-25,80;-38,18;-51,08;-64,16;-77,40
0,00;-12,73;-25,80;-38,18;-51,08;-64,13;-77,40
0,00;-12,73;-25,80;-38,16;-51,08;-64,33;-77,40
0,00;-12,73;-25,80;-38,36;-51,08;-64,33;-77,40
0,00;-12,73;-25,80;-38,36;-51,08;-64,33;-77,40
0,00;-12,73;-25,80;-38,36;-51,08;-64,33;-77,40
0,00;-12,73;-25,77;-38,36;-51,06;-64,33;-77,40
0,00;-12,73;-25,97;-38,36;-51,26;-64,33;-77,40
0,00;-12,73;-25,97;-38,36;-51,26;-64,33;-77,40
0,00;-12,73;-25,97;-38,36;-51,26;-64,33;-77,40
0,00;-12,73;-25,97;-38,36;-51,26;-64,33;-77,40
0,00;-12,73;-25,97;-38,36;-51,23;-64,33;-77,40
0,00;-12,73;-25,97;-38,36;-51,43;-64,33;-77,40
-0,03;-12,73;-25,97;-38,36;-51,43;-64,33;-77,43
0,17;-12,73;-25,97;-38,33;-51,43;-64,33;-77,20
0,17;-12,73;-25,97;-38,53;-51,43;-64,33;-77,43
0,17;-12,73;-25,97;-38,53;-51,40;-64,33;-77,23
0,17;-12,73;-25,97;-38,53;-51,60;-64,33;-77,23
0,17;-12,73;-25,97;-38,53;-51,60;-64,33;-77,23
0,17;-12,73;-25,97;-38,53;-51,60;-64,33;-77,23
0,17;-12,73;-25,97;-38,53;-51,60;-64,33;-77,23
0,14;-12,73;-25,97;-38,53;-51,57;-64,33;-77,23
0,34;-12,73;-25,97;-38,53;-51,77;-64,33;-77,23
0,34;-12,73;-26,00;-38,53;-51,77;-64,33;-77,23
0,34;-12,73;-25,80;-38,53;-51,77;-64,33;-77,23
0,34;-12,73;-25,80;-38,53;-51,77;-64,33;-77,23
0,34;-12,73;-25,80;-38,53;-51,77;-64,33;-77,23
0,34;-12,73;-25,80;-38,53;-51,77;-64,33;-77,23
0,34;-12,73;-25,80;-38,53;-51,77;-64,33;-77,23
0,34;-12,73;-25,80;-38,53;-51,77;-64,30;-77,23
0,34;-12,73;-25,80;-38,53;-51,74;-64,50;-77,23
0,34;-12,73;-25,83;-38,53;-51,94;-64,50;-77,23
0,34;-12,73;-25,63;-38,53;-51,97;-64,50;-77,23
0,34;-12,73;-25,63;-38,53;-51,77;-64,50;-77,23
0,34;-12,73;-25,63;-38,56;-51,77;-64,50;-77,23
0,37;-12,73;-25,63;-38,36;-51,77;-64,50;-77,23
0,17;-12,73;-25,63;-38,36;-51,77;-64,50;-77,25
0,17;-12,73;-25,63;-38,36;-51,77;-64,50;-77,06
0,17;-12,76;-25,63;-38,36;-51,77;-64,50;-77,06
0,17;-12,56;-25,63;-38,36;-51,77;-64,50;-77,06
0,17;-12,56;-25,63;-38,36;-51,77;-64,50;-77,06
0,17;-12,56;-25,66;-38,36;-51,77;-64,50;-77,06
0,20;-12,56;-25,46;-38,36;-51,80;-64,50;-77,06
0,00;-12,56;-25,46;-38,36;-51,60;-64,50;-77,06
0,00;-12,56;-25,46;-38,36;-51,60;-64,50;-77,06
0,00;-12,56;-25,43;-38,36;-51,60;-64,50;-77,06
0,00;-12,53;-25,63;-38,38;-51,63;-64,53;-77,06
0,00;-12,73;-25,63;-38,18;-51,43;-64,33;-77,06
0,00;-12,73;-25,63;-38,18;-51,43;-64,33;-77,06
0,00;-12,73;-25,63;-38,18;-51,43;-64,33;-77,06
0,00;-12,73;-25,63;-38,18;-51,43;-64,33;-77,06
0,00;-12,73;-25,63;-38,18;-51,46;-64,33;-77,06
0,00;-12,73;-25,63;-38,18;-51,26;-64,33;-77,03
0,00;-12,73;-25,63;-38,18;-51,26;-64,33;-77,23
0,00;-12,73;-25,63;-38,18;-51,26;-64,33;-77,23
0,00;-12,73;-25,63;-38,18;-51,26;-64,33;-77,23
0,00;-12,73;-25,63;-38,18;-51,26;-64,33;-77,23
0,00;-12,73;-25,60;-38,18;-51,28;-64,33;-77,23
0,00;-12,73;-25,80;-38,18;-51,08;-64,33;-77,23
0,00;-12,73;-25,80;-38,18;-51,08;-64,33;-77,23
0,00;-12,73;-25,80;-38,18;-51,08;-64,33;-77,23
0,00;-12,73;-25,80;-38,18;-51,08;-64,33;-77,23
-0,03;-12,73;-25,80;-38,18;-51,08;-64,33;-77,23
0,17;-12,73;-25,80;-38,18;-51,08;-64,33;-77,23
0,17;-12,73;-25,80;-38,18;-51,08;-64,33;-77,23
0,17;-12,73;-25,77;-38,18;-51,08;-64,33;-77,23
0,17;-12,73;-25,97;-38,16;-51,08;-64,33;-77,23
0,17;-12,73;-25,97;-38,36;-51,08;-64,33;-77,23
0,17;-12,73;-25,97;-38,36;-51,08;-64,33;-77,23
0,14;-12,73;-25,97;-38,36;-51,08;-64,33;-77,23
0,34;-12,73;-25,97;-38,36;-51,08;-64,33;-77,23
0,34;-12,73;-25,97;-38,36;-51,08;-64,33;-77,23
0,34;-12,73;-25,97;-38,36;-51,08;-64,33;-77,23
0,34;-12,73;-25,97;-38,36;-51,06;-64,33;-77,23
0,34;-12,73;-25,97;-38,36;-51,26;-64,33;-77,23
0,34;-12,73;-25,97;-38,36;-51,26;-64,33;-77,20
0,34;-12,73;-25,97;-38,36;-51,26;-64,33;-77,40
0,34;-12,73;-25,97;-38,36;-51,26;-64,33;-77,40
0,34;-12,73;-25,97;-38,33;-51,26;-64,33;-77,40
0,34;-12,73;-25,97;-38,53;-51,23;-64,33;-77,40
0,34;-12,73;-25,97;-38,53;-51,43;-64,33;-77,40
0,34;-12,73;-25,97;-38,53;-51,43;-64,33;-77,40
0,34;-12,73;-26,00;-38,53;-51,43;-64,33;-77,40
0,34;-12,73;-25,80;-38,53;-51,40;-64,33;-77,40
0,34;-12,73;-25,80;-38,53;-51,60;-64,33;-77,40
0,34;-12,73;-25,80;-38,53;-51,60;-64,33;-77,40
0,37;-12,73;-25,80;-38,53;-51,60;-64,33;-77,40
0,17;-12,73;-25,80;-38,53;-51,60;-64,33;-77,40
0,17;-12,73;-25,80;-38,53;-51,57;-64,33;-77,40
0,17;-12,73;-25,83;-38,53;-51,77;-64,33;-77,43
0,17;-12,73;-25,63;-38,53;-51,77;-64,33;-77,23
0,17;-12,73;-25,63;-38,53;-51,77;-64,33;-77,23
0,20;-12,73;-25,63;-38,53;-51,77;-64,33;-77,23
0,00;-12,73;-25,63;-38,53;-51,77;-64,33;-77,23
0,00;-12,73;-25,63;-38,53;-51,77;-64,33;-77,23
0,00;-12,73;-25,63;-38,53;-51,77;-64,33;-77,23
0,00;-12,73;-25,63;-38,56;-51,77;-64,33;-77,23
0,00;-12,73;-25,63;-38,36;-51,77;-64,30;-77,23
